id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1229918370096611328,1229903105589960706,2020-02-19 07:59:24 CST,2020-02-19,07:59:24,+0800,317004447,lianabanks,LIΔNΔ ВAΝK$ 🐉🌴💚,,@Itsashforde A R T !,und,[],[],[],1,3,38,[],[],https://twitter.com/LianaBanks/status/1229918370096611328,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'Itsashforde', 'name': 'AshForde', 'id': '292461889'}]",,,,
1229917456170455043,1229909256431861761,2020-02-19 07:55:46 CST,2020-02-19,07:55:46,+0800,21264971,diancalondon,DIANCA LONDON,,@Keisha_Belle Congrats!!!,en,[],[],[],1,0,1,[],[],https://twitter.com/diancalondon/status/1229917456170455043,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'Keisha_Belle', 'name': 'Has to Pee in the Middle of Every Zoom Call Ever', 'id': '37959764'}]",,,,
1229916661899243520,1229916661899243520,2020-02-19 07:52:37 CST,2020-02-19,07:52:37,+0800,278606956,mattpol,Matthew Polevoy,,@USPSHelp I’ve sent you several DMs over the last few days about multiple pieces of missing mail. Can you please help me?,en,[],[],[],0,0,0,[],[],https://twitter.com/mattpol/status/1229916661899243520,False,,0,,,"40.650002,-73.949997,1km",,,,,[],,,,
1229915243280814080,1229912675393691649,2020-02-19 07:46:59 CST,2020-02-19,07:46:59,+0800,78488017,shrkquestionmrk,the guy from shark? (the band),,@mdotanton So much power,en,[],[],[],1,0,0,[],[],https://twitter.com/shrkquestionmrk/status/1229915243280814080,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'mdotanton', 'name': 'Michael “No. 1 Reply Guy” Anton', 'id': '46045364'}]",,,,
1229915187278471168,1229767445159825408,2020-02-19 07:46:46 CST,2020-02-19,07:46:46,+0800,599362583,ungarino,Rebecca Ungarino,,@c_senst @businessinsider @LinkedIn Got one for a furniture salesperson at Business Insider. Our diversification really is incredible!!,en,[],[],[],0,0,7,[],[],https://twitter.com/ungarino/status/1229915187278471168,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'c_senst', 'name': 'Claudius Senst', 'id': '561052942'}, {'screen_name': 'businessinsider', 'name': 'Business Insider', 'id': '20562637'}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': '13058772'}]",,,,
1229913705363787777,1229098037785616384,2020-02-19 07:40:52 CST,2020-02-19,07:40:52,+0800,21854543,miguelmarquez,Miguel Marquez,,@BigSouthpaw29 The idea is... growing on me.,en,[],[],[],0,0,0,[],[],https://twitter.com/miguelmarquez/status/1229913705363787777,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'BigSouthpaw29', 'name': 'Chris J. Caporin', 'id': '823803319'}]",,,,
1229912162488983552,1229887879033147392,2020-02-19 07:34:44 CST,2020-02-19,07:34:44,+0800,26239721,pfpicardi,pfpicardi,,@TrevellAnderson @Lavernecox @chellamanart @outmagazine @YashuaSimmons @Disclosure_Doc I smell a book or a documentary! Congrats on the mic drop.,en,[],[],[],0,0,3,[],[],https://twitter.com/pfpicardi/status/1229912162488983552,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'TrevellAnderson', 'name': ""Tre'vell Anderson"", 'id': '137195253'}, {'screen_name': 'Lavernecox', 'name': 'Laverne Cox', 'id': '63112528'}, {'screen_name': 'chellamanart', 'name': 'CHELLA MAN', 'id': '2769533518'}, {'screen_name': 'outmagazine', 'name': 'Out Magazine', 'id': '21713274'}, {'screen_name': 'YashuaSimmons', 'name': 'Yashua Simmons', 'id': '22882308'}, {'screen_name': 'Disclosure_Doc', 'name': 'Disclosure Documentary', 'id': '840368463524782080'}]",,,,
1229904934210088960,1229882428925325312,2020-02-19 07:06:01 CST,2020-02-19,07:06:01,+0800,24994355,raewitte,rae chill witty,,@donetodeath The HED!,en,[],[],[],0,0,2,[],[],https://twitter.com/RaeWitte/status/1229904934210088960,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'donetodeath', 'name': 'Chris Black', 'id': '15475639'}]",,,,
1229904839427153922,1229904839427153922,2020-02-19 07:05:38 CST,2020-02-19,07:05:38,+0800,71311064,sherships,Sally Herships,,@ChrisBerube wow! Nice work on Cryptoqueen!! Listening now! 😯😯😯,en,[],[],[],1,0,5,[],[],https://twitter.com/sherships/status/1229904839427153922,False,,0,,,"40.650002,-73.949997,1km",,,,,[],,,,
1229903589436534786,1229902768493748231,2020-02-19 07:00:40 CST,2020-02-19,07:00:40,+0800,24994355,raewitte,rae chill witty,,For the show he was a guest at and responsible for observing as someone else captured content of him from what I’ve deduced,en,[],[],[],0,0,0,[],[],https://twitter.com/RaeWitte/status/1229903589436534786,False,,0,,,"40.650002,-73.949997,1km",,,,,[],,,,
1229902768493748231,1229902768493748231,2020-02-19 06:57:25 CST,2020-02-19,06:57:25,+0800,24994355,raewitte,rae chill witty,,I just saw a male street style star caption a post of him getting his photo taken as “warming up” for the show and I have just a few questions!,en,[],[],[],2,0,8,[],[],https://twitter.com/RaeWitte/status/1229902768493748231,False,,0,,,"40.650002,-73.949997,1km",,,,,[],,,,
1229900804426997762,1229900804426997762,2020-02-19 06:49:36 CST,2020-02-19,06:49:36,+0800,78800895,radamiz,r a d a m i z 🇩🇴,,i know it’s meant as a compliment but i never know how to respond when someone asks “damn how are you not famous or getting millions of plays yet?” or “i wish you were bigger”  like yo.....I AGREE. i want those things too,en,[],[],[],3,2,15,[],[],https://twitter.com/radamiz/status/1229900804426997762,False,,0,,,"40.650002,-73.949997,1km",,,,,[],,,,
1229899416242442240,1229896477323014145,2020-02-19 06:44:05 CST,2020-02-19,06:44:05,+0800,8624752,launerts,Brandon,,@Malfaro__ @CBSNews 😭😭😭😭,und,[],[],[],0,0,1,[],[],https://twitter.com/Launerts/status/1229899416242442240,False,,0,,,"40.650002,-73.949997,1km",,,,,"[{'screen_name': 'Malfaro__', 'name': 'Martin Alfaro™️', 'id': '1154097969827930112'}, {'screen_name': 'CBSNews', 'name': 'CBS News', 'id': '15012486'}]",,,,
1229897009768910851,1229895741612662786,2020-02-19 06:34:32 CST,2020-02-19,06:34:32,+0800,2379200053,malika_andrews,Malika Andrews,,"Kenny Atkinson said he “wouldn’t go there” when asked if there’s a concern Irving will miss the rest of the season. Right now, the plan is that he will see a specialist and go from there. Atkinson said the shoulder has been continuously bothering Irving.",en,[],[],[],3,29,81,[],[],https://twitter.com/malika_andrews/status/1229897009768910851,False,,0,,,"40.650002,-73.949997,1km",,,,,[],,,,
